,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d,walk01.c3d
,TIME,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,DistEndPos,ProxEndPos,ProxEndPos,ProxEndPos
,FRAME_NUMBERS,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC,KINETIC_KINEMATIC
,ORIGINAL,LAR,LAR,LAR,LAR,LAR,LAR,LFA,LFA,LFA,LSK,LSK,LSK,LTH,LTH,LTH,LTH,LTH,LTH,RAR,RAR,RAR,RAR,RAR,RAR,RFA,RFA,RFA,RSK,RSK,RSK,RTH,RTH,RTH,RTH,RTH,RTH
,,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip,Elbow,Elbow,Elbow,Shoulder,Shoulder,Shoulder,Wrist,Wrist,Wrist,Ankle,Ankle,Ankle,Knee,Knee,Knee,Hip,Hip,Hip
ITEM,X,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
29,0.933333,2.553234,-0.058156,1.135062,2.481804,0.030113,1.488973,2.401461,-0.064992,0.909089,2.809568,0.123712,0.222312,2.452032,0.086331,0.501307,2.459687,0.12565,0.932984,2.543752,0.450445,1.102532,2.46168,0.391631,1.459681,2.430791,0.472517,0.866655,2.424166,0.212654,0.081361,2.400493,0.263227,0.5177,2.43478,0.281165,0.959974
30,0.941667,2.547074,-0.058426,1.136627,2.473294,0.030584,1.48987,2.396774,-0.066066,0.909727,2.78941,0.123164,0.221724,2.434187,0.085592,0.503349,2.450412,0.125664,0.93472,2.529548,0.453112,1.103251,2.451342,0.39201,1.460883,2.414001,0.473116,0.868492,2.424135,0.212779,0.081297,2.397416,0.263517,0.517715,2.425836,0.281588,0.9604
31,0.95,2.541,-0.05861,1.138127,2.464811,0.031052,1.490693,2.39215,-0.067156,0.910331,2.768795,0.122384,0.220414,2.416579,0.085038,0.505495,2.441329,0.125523,0.936422,2.515336,0.455767,1.103964,2.441163,0.392369,1.462055,2.39718,0.473663,0.87038,2.424096,0.212885,0.081248,2.394451,0.263779,0.517736,2.41691,0.282057,0.960755
32,0.958333,2.535002,-0.058704,1.13957,2.45634,0.031517,1.49145,2.387597,-0.068253,0.910895,2.747745,0.12139,0.218424,2.399225,0.084675,0.50772,2.432394,0.125238,0.938074,2.501128,0.458385,1.104672,2.431142,0.392707,1.463195,2.380338,0.474162,0.872328,2.424034,0.212965,0.081218,2.391564,0.264004,0.517762,2.407961,0.28255,0.961035
33,0.966667,2.529068,-0.058704,1.140954,2.447873,0.031975,1.49214,2.383114,-0.06935,0.911408,2.726253,0.120235,0.21579,2.382147,0.084507,0.510003,2.423561,0.124825,0.939665,2.486936,0.460938,1.105371,2.421275,0.393024,1.464295,2.363481,0.474614,0.87434,2.423946,0.213016,0.081214,2.388706,0.264179,0.517788,2.398961,0.283036,0.961233
34,0.975,2.523181,-0.058609,1.142272,2.439402,0.032423,1.492759,2.378694,-0.070438,0.91186,2.704308,0.118973,0.212546,2.365364,0.084535,0.512324,2.414784,0.124306,0.94119,2.472772,0.463394,1.106052,2.411553,0.393316,1.465345,2.346613,0.475023,0.876417,2.423834,0.213046,0.081235,2.385823,0.264298,0.517809,2.389902,0.283475,0.961341
35,0.983333,2.517324,-0.058418,1.143516,2.430923,0.032854,1.493304,2.374327,-0.071509,0.912242,2.681898,0.117657,0.208724,2.34889,0.084756,0.514665,2.406028,0.123709,0.942646,2.458643,0.465718,1.1067,2.401967,0.393585,1.466332,2.329739,0.475386,0.878558,2.423707,0.21307,0.081275,2.382862,0.264361,0.517813,2.380801,0.283821,0.961346
36,0.991667,2.51148,-0.058137,1.144682,2.422436,0.033265,1.493772,2.369997,-0.072556,0.912547,2.659012,0.116337,0.204357,2.332727,0.085161,0.517004,2.397276,0.123075,0.944024,2.444558,0.467881,1.1073,2.392506,0.39383,1.467241,2.312863,0.475701,0.880754,2.423575,0.213105,0.081323,2.379777,0.264381,0.517784,2.371694,0.284037,0.961239
37,1,2.505629,-0.057772,1.145764,2.413937,0.033653,1.494162,2.36569,-0.073574,0.912769,2.635635,0.115074,0.199484,2.316866,0.085733,0.519324,2.388536,0.122454,0.945311,2.430527,0.469864,1.10784,2.383162,0.39405,1.468061,2.295995,0.475964,0.883001,2.423447,0.213162,0.081376,2.376549,0.264375,0.517709,2.362637,0.28411,0.961016
38,1.008333,2.499757,-0.057333,1.146759,2.405427,0.034014,1.494472,2.361388,-0.074558,0.912905,2.611747,0.113927,0.194144,2.301294,0.086458,0.521609,2.379834,0.121891,0.946492,2.41656,0.471667,1.108314,2.373923,0.394246,1.468783,2.27915,0.476173,0.885293,2.42332,0.213242,0.081439,2.373188,0.264367,0.51758,2.353698,0.284053,0.960679
39,1.016667,2.493847,-0.056832,1.147663,2.396902,0.034342,1.494702,2.357076,-0.075505,0.912952,2.587329,0.112956,0.188381,2.286007,0.087323,0.523843,2.371196,0.121421,0.947553,2.402669,0.473297,1.108723,2.364778,0.394417,1.469406,2.26235,0.476326,0.887626,2.423193,0.213332,0.081518,2.369726,0.264373,0.517399,2.344942,0.283899,0.960241
40,1.025,2.487884,-0.056279,1.148473,2.388362,0.034634,1.49485,2.352735,-0.076409,0.912907,2.562373,0.112204,0.18225,2.27101,0.088315,0.526013,2.362643,0.121069,0.948483,2.388866,0.474764,1.10907,2.355716,0.394563,1.469929,2.245617,0.47642,0.889993,2.423061,0.213419,0.08162,2.366198,0.264394,0.517178,2.336402,0.283693,0.959721
41,1.033333,2.481854,-0.055683,1.149188,2.3798,0.034888,1.494918,2.348349,-0.077264,0.912772,2.536881,0.1117,0.175817,2.25632,0.089421,0.528103,2.354195,0.120849,0.949271,2.375163,0.476079,1.109361,2.346725,0.394684,1.470354,2.228976,0.476454,0.892392,2.422922,0.213489,0.081749,2.36264,0.264416,0.516937,2.328071,0.283481,0.959142
42,1.041667,2.475745,-0.055053,1.149809,2.371211,0.035103,1.494906,2.343903,-0.078063,0.912549,2.510864,0.11145,0.169153,2.241958,0.090627,0.530095,2.345867,0.120767,0.94991,2.361568,0.47725,1.109598,2.337791,0.39478,1.470685,2.212448,0.476424,0.894815,2.42277,0.213531,0.081907,2.35908,0.264424,0.516693,2.319915,0.283293,0.958524
